950.	15.202	-25.869	4.52	4.5347	-0.1967	288.
925.	15.117	-27.189	2.27	4.4469	-0.3095	505.
900.	13.711	-26.856	0.92	4.1518	-0.3587	726.
850.	12.447	-26.643	-1.75	3.5417	-0.1867	1183.
800.	11.362	-28.637	-4.27	3.1244	0.1397	1663.
700.	9.531	-27.357	-8.71	2.5971	0.1572	2707.
600.	10.624	-20.530	-14.07	1.8875	-0.3020	3890.
500.	4.440	-10.398	-19.88	1.3142	-0.7795	5258.
400.	1.738	-7.488	-30.87	0.5388	-0.5960	6881.
300.	-3.242	-6.323	-48.10	0.1039	0.0144	8851.
250.	5.231	1.996	-48.23	0.0466	0.0224	10047.
200.	7.517	7.961	-45.86	0.0042	0.0131	11529.
150.	6.487	10.295	-49.36	0.0034	0.0029	13429.
327.00	52.0	0	0	0	0	0
1000.	11.908	-19.696	7.21	5.1796	-0.0236	-171.
950.	16.652	-28.355	3.63	4.7230	0.1714	248.
925.	17.342	-29.660	1.91	4.6436	0.3826	464.
900.	17.221	-30.040	0.44	4.5103	0.5302	685.
850.	13.258	-36.199	-1.92	4.0324	0.4267	1141.
800.	8.407	-32.916	-3.37	3.6586	-0.2417	1622.
700.	4.490	-16.890	-6.31	3.1173	-1.1791	2673.
600.	5.191	-9.907	-11.87	2.4232	-1.3578	3867.
500.	4.827	-9.654	-19.72	1.2914	-1.3439	5242.
400.	2.927	-10.039	-31.75	0.4969	-0.3328	6861.
300.	-0.554	-13.087	-46.33	0.1257	-0.0448	8829.
250.	5.235	3.824	-43.99	0.0103	0.0259	10047.
200.	5.630	9.988	-45.82	0.0042	0.0049	11539.
150.	4.799	11.788	-49.85	0.0034	0.0200	13439.
328.00	52.0	0	0	0	0	0
1000.	9.329	-16.680	9.51	5.7141	-0.0713	-230.
950.	11.414	-22.242	6.55	5.3553	-0.6654	193.
925.	10.891	-24.328	4.59	5.2578	-1.4482	412.
900.	9.296	-25.267	3.45	5.0318	-2.1729	635.
850.	3.191	-22.125	1.99	5.4088	-2.9417	1098.
800.	-1.388	-12.016	0.72	5.1149	-2.6549	1587.
